Neighborhood,Year,Census Tracts
Allegheny Center,2010,5627
Allegheny West,2010,5627
Allentown,2010,1803
Arlington,2010,5616
Arlington Heights,2010,5616
Banksville,2010,2023
Bedford Dwellings,2010,509
Beechview,2010,1916
Beltzhoover,2010,5624
Bloomfield,2010,"802 804 806 809 903"
Bluff,2010,103
Bon Air,2010,5624
Brighton Heights,2010,"2701 2703 2708"
Brookline,2010,"1917 1918 1919 3206"
California Kirkbride,2010,2507
Carrick,2010,"2901 2902 2904"
Central Lawrenceville,2010,"901 902 9810"
Central Northside,2010,"2206 2503"
Central Oakland,2010,"405 406"
Chartiers City,2010,5630
Chateau,2010,9806
Crafton Heights,2010,"2814 2815"
Crawford-Roberts,2010,305
Duquesne Heights,2010,1911
East Allegheny,2010,5632
East Carnegie,2010,5628
East Hills,2010,1306
East Liberty,2010,"1113 1115"
Elliott,2010,5626
Esplen,2010,5625
Fairywood,2010,5630
Fineview,2010,2509
Friendship,2010,807
Garfield,2010,"1016 1017 1114"
Glen Hazel,2010,5623
Golden Triangle/Civic Arena,2010,201
Greenfield,2010,"1516 1517"
Hays,2010,5629
Hazelwood,2010,"5623 5629"
Highland Park,2010,"1102 1106"
Homewood North,2010,"1301 1302"
Homewood South,2010,"1303 1304"
Homewood West,2010,1207
Knoxville,2010,3001
Larimer,2010,"1204, 1208"
Lincoln-Lemington-Belmar,2010,"1203 5619 9800 9818"
Lincoln Place,2010,3102
Lower Lawrenceville,2010,603
Manchester,2010,2107
Marshall-Shadeland,2010,"2704 2715 9809"
Middle Hill,2010,501
Morningside,2010,1014
Mount Oliver Neighborhood,2010,5617
Mount Washington,2010,"1807 1903 1914 1915"
New Homestead,2010,3103
North Oakland,2010,"404 5620"
North Shore,2010,"5632 9812"
Northview Heights,2010,2609
Oakwood,2010,5628
Overbrook,2010,"3204 3207"
Perry North,2010,"2602 2607 9804"
Perry South,2010,"2614 2615"
Point Breeze,2010,"1404 1406 9811"
Point Breeze North,2010,1405
Polish Hill,2010,605
Regent Square,2010,1410
Ridgemont,2010,5631
Saint Clair,2000,1606
Shadyside,2010,"703 705 706 708 709"
Sheraden,2010,"2022 5625"
South Oakland,2010,"409 9808"
South Shore,2010,9807
South Side Flats,2010,"1609 1702"
South Side Slopes,2010,"1608 1706"
Spring Garden,2010,2412
Spring Hill – City View,2010,2620
Squirrel Hill North,2010,"1401 1402 1403"
Squirrel Hill South,2010,"1408 1413 1414 9803 9805"
Stanton Heights,2010,"1005 1018"
Strip District,2010,203
Summer Hill,2010,2612
Swisshelm Park,2010,1411
Terrace Village,2010,"402 510 511"
Troy Hill,2010,2406
Upper Hill,2010,506
Upper Lawrenceville,2010,1011
West End,2010,5626
West Oakland,2010,402
Westwood,2010,5631
Windgap,2010,5630
